model_family	seed	dataset_slug	dataset	config_id	checkpoint_path	val_rmse	test_rmse	status
scratch_target_only	13	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_scratch_cigs_mce_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_1627e7de5ad288b4/seed_13/checkpoints/best-validation-rmse-epoch0020.ckpt	0.58703411	0.57220000	ok
scratch_target_only	13	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_scratch_cigs_tcm_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_78507308ed947ca6/seed_13/checkpoints/best-validation-rmse-epoch0040.ckpt	0.44870777	0.40810000	ok
scratch_target_only	13	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed13_molholdout_h100_1x_bs4096_200epoch_lustre	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_scratch_dilimap_train_seed13_molholdout_h100_1x_bs4096_200epoch_lustre/LPM_80c22dac4801950d/seed_13/checkpoints/best-validation-rmse-epoch0199.ckpt	0.58378663	0.60880000	ok
scratch_target_only	13	gdpx2	Ginkgo GDPx2	lpm_paper10_scratch_gdpx2_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_scratch_gdpx2_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_2c7627599d005a2b/seed_13/checkpoints/best-validation-rmse-epoch0109.ckpt	0.57108151	0.43120000	ok
scratch_target_only	13	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_scratch_lincs_phase1_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_scratch_lincs_phase1_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_8a5894aa3c36c9f2/seed_13/checkpoints/best-validation-rmse-epoch0007.ckpt	0.61924252	0.63260000	ok
scratch_target_only	13	lincs_phase2	LINCS_phase2_level3	lpm_paper10_scratch_lincs_phase2_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_scratch_lincs_phase2_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_519688f6efd3cc2c/seed_13/checkpoints/best-validation-rmse-epoch0006.ckpt	0.47208785	0.48780000	ok
scratch_target_only	13	novartis	Novartis MoABox DRUG-seq	lpm_paper10_scratch_novartis_seed13_molholdout_h100_1x_bs4096_200epoch_lustre	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_scratch_novartis_seed13_molholdout_h100_1x_bs4096_200epoch_lustre/LPM_4ec072a2e99a007e/seed_13/checkpoints/best-validation-rmse-epoch0035.ckpt	0.67798885	0.54040000	ok
scratch_target_only	13	op3	op3	lpm_paper10_scratch_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_scratch_op3_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_73dd39a880d7dd25/seed_13/checkpoints/best-validation-rmse-epoch0042.ckpt	0.41782449	0.34720000	ok
scratch_target_only	13	sciplex	srivatsan20_sciplex3	lpm_paper10_scratch_sciplex_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_scratch_sciplex_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_bd9e95d87de7d9a8/seed_13/checkpoints/best-validation-rmse-epoch0199.ckpt	0.71844327	0.68430000	ok
scratch_target_only	13	tahoe100	tahoe100	lpm_paper10_scratch_tahoe100_seed13_molholdout_h100_2x_bs4096_200epoch_lustre	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_scratch_tahoe100_seed13_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_9c288dbbb7f9288d/seed_13/checkpoints/best-validation-rmse-epoch0005.ckpt	0.74488725	0.73810000	ok
scratch_target_only	13	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_scratch_vcpi_0001_seed13_molholdout_h100_1x_bs4096_200epoch_lustre	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_scratch_vcpi_0001_seed13_molholdout_h100_1x_bs4096_200epoch_lustre/LPM_c5c4977e30439248/seed_13/checkpoints/best-validation-rmse-epoch0067.ckpt	0.55354558	0.57060000	ok
scratch_target_only	13	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_scratch_vcpi_0002_seed13_molholdout_h100_1x_bs4096_200epoch_lustre	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_scratch_vcpi_0002_seed13_molholdout_h100_1x_bs4096_200epoch_lustre/LPM_0203c331c6be7440/seed_13/checkpoints/best-validation-rmse-epoch0025.ckpt	0.51000524		ok
scratch_target_only	17	cigs_mce	CIGS MCE	lpm_paper10_scratch_cigs_mce_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_scratch_cigs_mce_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_1627e7de5ad288b4/seed_17/checkpoints/best-validation-rmse-epoch0017.ckpt	0.58727580	0.56940000	ok
scratch_target_only	17	cigs_tcm	CIGS TCM	lpm_paper10_scratch_cigs_tcm_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_scratch_cigs_tcm_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_78507308ed947ca6/seed_17/checkpoints/best-validation-rmse-epoch0034.ckpt	0.44868088	0.40870000	ok
scratch_target_only	17	dilimap_train	dilimap_train	lpm_paper10_scratch_dilimap_train_seed17_molholdout_h100_1x_bs4096_200epoch_lustre	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_scratch_dilimap_train_seed17_molholdout_h100_1x_bs4096_200epoch_lustre/LPM_80c22dac4801950d/seed_17/checkpoints/best-validation-rmse-epoch0199.ckpt	0.58329997	0.60700000	ok
