model_family	seed	dataset_slug	dataset	config_id	gpus	source_count	initialize_from_checkpoint	initialized_from_source_seed	source_checkpoint_dataset_val_rmse	source_checkpoint_selection_metric	morgan_variant	freeze_initialized_perturbation_embeddings
finetune_morgan_learned_fixed_updated_embeddings	13	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_morgan_init_learned_finetune_fixmol_vcpi_0001_seed13_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0036.ckpt	17	0.55375522	Validation RMSE dataset/Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	13	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_morgan_init_learned_finetune_fixmol_vcpi_0002_seed13_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0010.ckpt	17	0.70939201	Validation RMSE	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	17	cigs_mce	CIGS MCE	lpm_paper10_morgan_init_learned_finetune_fixmol_cigs_mce_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0088.ckpt	17	0.61649382	Validation RMSE dataset/CIGS MCE	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	17	cigs_tcm	CIGS TCM	lpm_paper10_morgan_init_learned_finetune_fixmol_cigs_tcm_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed37_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_37/checkpoints/epoch-epoch=0025.ckpt	37	0.40047431	Validation RMSE dataset/CIGS TCM	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	17	dilimap_train	dilimap_train	lpm_paper10_morgan_init_learned_finetune_fixmol_dilimap_train_seed17_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0010.ckpt	17	0.70939201	Validation RMSE	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	17	gdpx2	Ginkgo GDPx2	lpm_paper10_morgan_init_learned_finetune_fixmol_gdpx2_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed47_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_47/checkpoints/epoch-epoch=0060.ckpt	47	0.56790274	Validation RMSE dataset/Ginkgo GDPx2	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	17	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_morgan_init_learned_finetune_fixmol_lincs_phase1_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	70	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed31_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_31/checkpoints/epoch-epoch=0024.ckpt	31	0.61933517	Validation RMSE dataset/LINCS_phase1_level3_epsilon	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	17	lincs_phase2	LINCS_phase2_level3	lpm_paper10_morgan_init_learned_finetune_fixmol_lincs_phase2_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	30	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0082.ckpt	17	0.49276116	Validation RMSE dataset/LINCS_phase2_level3	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	17	novartis	Novartis MoABox DRUG-seq	lpm_paper10_morgan_init_learned_finetune_fixmol_novartis_seed17_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed31_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_31/checkpoints/epoch-epoch=0004.ckpt	31	0.68922579	Validation RMSE dataset/Novartis MoABox DRUG-seq	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	17	op3	op3	lpm_paper10_morgan_init_learned_finetune_fixmol_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed41_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_41/checkpoints/epoch-epoch=0146.ckpt	41	0.47370782	Validation RMSE dataset/op3	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	17	sciplex	srivatsan20_sciplex3	lpm_paper10_morgan_init_learned_finetune_fixmol_sciplex_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	3	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0045.ckpt	17	0.62054145	Validation RMSE dataset/srivatsan20_sciplex3	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	17	tahoe100	tahoe100	lpm_paper10_morgan_init_learned_finetune_fixmol_tahoe100_seed17_molholdout_h100_2x_bs4096_200epoch_lustre	2	48	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0010.ckpt	17	0.73402107	Validation RMSE dataset/tahoe100	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	17	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_morgan_init_learned_finetune_fixmol_vcpi_0001_seed17_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0036.ckpt	17	0.55375522	Validation RMSE dataset/Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	17	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_morgan_init_learned_finetune_fixmol_vcpi_0002_seed17_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0010.ckpt	17	0.70939201	Validation RMSE	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	19	cigs_mce	CIGS MCE	lpm_paper10_morgan_init_learned_finetune_fixmol_cigs_mce_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0088.ckpt	17	0.61649382	Validation RMSE dataset/CIGS MCE	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	19	cigs_tcm	CIGS TCM	lpm_paper10_morgan_init_learned_finetune_fixmol_cigs_tcm_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed37_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_37/checkpoints/epoch-epoch=0025.ckpt	37	0.40047431	Validation RMSE dataset/CIGS TCM	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	19	dilimap_train	dilimap_train	lpm_paper10_morgan_init_learned_finetune_fixmol_dilimap_train_seed19_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0010.ckpt	17	0.70939201	Validation RMSE	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	19	gdpx2	Ginkgo GDPx2	lpm_paper10_morgan_init_learned_finetune_fixmol_gdpx2_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed47_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_47/checkpoints/epoch-epoch=0060.ckpt	47	0.56790274	Validation RMSE dataset/Ginkgo GDPx2	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	19	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_morgan_init_learned_finetune_fixmol_lincs_phase1_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	70	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed31_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_31/checkpoints/epoch-epoch=0024.ckpt	31	0.61933517	Validation RMSE dataset/LINCS_phase1_level3_epsilon	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	19	lincs_phase2	LINCS_phase2_level3	lpm_paper10_morgan_init_learned_finetune_fixmol_lincs_phase2_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	30	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0082.ckpt	17	0.49276116	Validation RMSE dataset/LINCS_phase2_level3	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	19	novartis	Novartis MoABox DRUG-seq	lpm_paper10_morgan_init_learned_finetune_fixmol_novartis_seed19_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed31_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_31/checkpoints/epoch-epoch=0004.ckpt	31	0.68922579	Validation RMSE dataset/Novartis MoABox DRUG-seq	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	19	op3	op3	lpm_paper10_morgan_init_learned_finetune_fixmol_op3_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed41_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_41/checkpoints/epoch-epoch=0146.ckpt	41	0.47370782	Validation RMSE dataset/op3	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	19	sciplex	srivatsan20_sciplex3	lpm_paper10_morgan_init_learned_finetune_fixmol_sciplex_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	3	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0045.ckpt	17	0.62054145	Validation RMSE dataset/srivatsan20_sciplex3	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	19	tahoe100	tahoe100	lpm_paper10_morgan_init_learned_finetune_fixmol_tahoe100_seed19_molholdout_h100_2x_bs4096_200epoch_lustre	2	48	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0010.ckpt	17	0.73402107	Validation RMSE dataset/tahoe100	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	19	vcpi_0001	Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	lpm_paper10_morgan_init_learned_finetune_fixmol_vcpi_0001_seed19_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0036.ckpt	17	0.55375522	Validation RMSE dataset/Ginkgo VCPI vcpi-0001 (tvc-bhr-009)	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	19	vcpi_0002	Ginkgo VCPI vcpi-0002 (tvc-kdl-010)	lpm_paper10_morgan_init_learned_finetune_fixmol_vcpi_0002_seed19_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0010.ckpt	17	0.70939201	Validation RMSE	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	23	cigs_mce	CIGS MCE	lpm_paper10_morgan_init_learned_finetune_fixmol_cigs_mce_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0088.ckpt	17	0.61649382	Validation RMSE dataset/CIGS MCE	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	23	cigs_tcm	CIGS TCM	lpm_paper10_morgan_init_learned_finetune_fixmol_cigs_tcm_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	2	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed37_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_37/checkpoints/epoch-epoch=0025.ckpt	37	0.40047431	Validation RMSE dataset/CIGS TCM	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	23	dilimap_train	dilimap_train	lpm_paper10_morgan_init_learned_finetune_fixmol_dilimap_train_seed23_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0010.ckpt	17	0.70939201	Validation RMSE	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	23	gdpx2	Ginkgo GDPx2	lpm_paper10_morgan_init_learned_finetune_fixmol_gdpx2_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed47_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_47/checkpoints/epoch-epoch=0060.ckpt	47	0.56790274	Validation RMSE dataset/Ginkgo GDPx2	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	23	lincs_phase1	LINCS_phase1_level3_epsilon	lpm_paper10_morgan_init_learned_finetune_fixmol_lincs_phase1_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	70	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed31_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_31/checkpoints/epoch-epoch=0024.ckpt	31	0.61933517	Validation RMSE dataset/LINCS_phase1_level3_epsilon	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	23	lincs_phase2	LINCS_phase2_level3	lpm_paper10_morgan_init_learned_finetune_fixmol_lincs_phase2_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	30	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0082.ckpt	17	0.49276116	Validation RMSE dataset/LINCS_phase2_level3	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	23	novartis	Novartis MoABox DRUG-seq	lpm_paper10_morgan_init_learned_finetune_fixmol_novartis_seed23_molholdout_h100_1x_bs4096_200epoch_lustre	1	1	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed31_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_31/checkpoints/epoch-epoch=0004.ckpt	31	0.68922579	Validation RMSE dataset/Novartis MoABox DRUG-seq	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	23	op3	op3	lpm_paper10_morgan_init_learned_finetune_fixmol_op3_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	4	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed41_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_41/checkpoints/epoch-epoch=0146.ckpt	41	0.47370782	Validation RMSE dataset/op3	morgan_learned	True
finetune_morgan_learned_fixed_updated_embeddings	23	sciplex	srivatsan20_sciplex3	lpm_paper10_morgan_init_learned_finetune_fixmol_sciplex_seed23_molholdout_h100_2x_bs4096_200epoch_lustre	2	3	/ictstr01/groups/ml01/workspace/artur.szalata/code/chem-perturbridge_lpm/.plib_cache/results/lpm_paper10_morgan_init_learned_all_data_plus_tahoe_novartis_op3_seed17_molholdout_h100_2x_bs4096_200epoch_lustre/LPM_6c2dba372bca1bda/seed_17/checkpoints/epoch-epoch=0045.ckpt	17	0.62054145	Validation RMSE dataset/srivatsan20_sciplex3	morgan_learned	True
